Country,Country code,Survey year,Prevalence (%),Substance,Recall period,Age,Sample size,Males (%),Females (%)
Austria,AT,2020,22.7,Cannabis,Lifetime,All adults (15-64),4650,24.8,20.6
Belgium,BE,2018,22.6,Cannabis,Lifetime,All adults (15-64),3954,28.1,17.3
Bulgaria,BG,2020,8.7,Cannabis,Lifetime,All adults (15-64),3838,9.5,7.8
Croatia,HR,2019,22.9,Cannabis,Lifetime,All adults (15-64),4994,28.8,16.9
Cyprus,CY,2022,18,Cannabis,Lifetime,All adults (15-64),3510,24.4,11.8
Czechia,CZ,2020,29.9,Cannabis,Lifetime,All adults (15-64),2701,38.2,21.3
Denmark,DK,2023,37.6,Cannabis,Lifetime,All adults (15-64),6550,45.7,29.9
Estonia,EE,2018,24.5,Cannabis,Lifetime,All adults (15-64),2234,30.8,20.3
Finland,FI,2022,31.2,Cannabis,Lifetime,All adults (15-64),3556,39,22.9
France,FR,2021,47.3,Cannabis,Lifetime,All adults (15-64),18298,54.9,39.9
Germany,DE,2021,34.7,Cannabis,Lifetime,All adults (15-64),9046,38.9,30.2
Greece,GR,2015,11,Cannabis,Lifetime,All adults (15-64),1519,15.8,6.3
Hungary,HU,2019,6.1,Cannabis,Lifetime,All adults (15-64),1385,8.4,4
Ireland,IE,2019,24.4,Cannabis,Lifetime,All adults (15-64),,29.5,19.3
Italy,IT,2022,34.8,Cannabis,Lifetime,All adults (15-64),4011,40.6,28.9
Latvia,LV,2020,15,Cannabis,Lifetime,All adults (15-64),4616,22,8.2
Lithuania,LT,2021,13.7,Cannabis,Lifetime,All adults (15-64),2501,20.7,6.8
Luxembourg,LU,2019,23.3,Cannabis,Lifetime,All adults (15-64),3514,27.8,19.6
Malta,MT,2013,4.3,Cannabis,Lifetime,All adults (15-64),,6.7,2
Netherlands,NL,2022,28.8,Cannabis,Lifetime,All adults (15-64),6043,34.1,23.5
Norway,NO,2022,27.1,Cannabis,Lifetime,All adults (15-64),1657,30.8,23.2
Poland,PL,2018,12.1,Cannabis,Lifetime,All adults (15-64),3013,16.4,7.7
Portugal,PT,2022,12.2,Cannabis,Lifetime,All adults (15-64),8378,17.5,7.1
Romania,RO,2019,6.1,Cannabis,Lifetime,All adults (15-64),7200,8,4.3
Slovakia,SK,2023,23.1,Cannabis,Lifetime,All adults (15-64),,29.2,16.9
Slovenia,SI,2018,20.7,Cannabis,Lifetime,All adults (15-64),9161,24.7,16.5
Spain,ES,2022,40.9,Cannabis,Lifetime,All adults (15-64),26344,48.8,32.9
Sweden,SE,2022,17.8,Cannabis,Lifetime,All adults (15-64),9969,22.5,12.9
Turkey,TR,2017,2.7,Cannabis,Lifetime,All adults (15-64),,5.4,0.2