Country,All,Males,Females,Mean age,Daily,4 to 6 days per week,2 to 3 days per week,Once a week or less,Not used in the last 30 days,Inject,Smoke / inhale,Eat / drink,Sniff,Occasionally employed,Regularly employed,Student,Unemployed / discouraged,Receiving social benefits / pensioners / house-makers / disable,Never went to school / never completed primary school (ISCED 0),Primary level of education (ISCED 1),Secondary level of education (ISCED 2 and ISCED 3),Higher education (ISCED 4 to ISCED 6),young adults (Upto 34),adults (greater than 34)
Austria,4709,3652,1057,32,1055,415,226,422,1712,444,1453,492,1245,58,1309,141,1787,251,151,94,4103,101,3070,1632
Belgium,12144,9264,2772,34,5119,948,1279,1092,1717,422,5157,1296,2796,421,3006,1071,2302,3848,269,2693,5968,1013,6249,5736
Bulgaria,1879,1528,351,33,650,259,470,276,154,575,574,273,333,425,374,70,858,123,79,695,963,129,541,539
Croatia,2315,1837,478,39,353,180,984,157,1401,851,553,329,497,424,661,195,684,135,31,513,1564,137,710,1605
Cyprus,884,767,117,30,357,86,99,105,212,97,608,9,160,105,270,90,358,19,16,305,373,165,590,291
Czechia,7283,4894,2389,33,2380,444,588,634,1099,2895,1227,862,918,296,764,131,1022,238,353,1011,1103,66,3435,3848
Denmark,8241,6162,2079,33,3030,771,1005,633,1556,76,3117,649,1590,739,1886,566,219,3268,0,1653,4519,1731,5894,2347
Estonia,417,331,86,36,266,54,48,18,15,275,61,53,23,37,109,3,226,39,25,220,161,11,157,260
Finland,427,295,132,32,219,69,40,30,16,234,61,78,44,26,30,42,270,38,7,237,145,13,276,151
France,43078,33443,9635,32,3104,729,984,682,1556,1382,22574,4111,5342,4195,11257,4755,6009,8760,169,1134,21927,5200,26449,16629
Germany,40466,32259,8139,30,11142,3273,4581,3616,10992,906,18832,3466,4747,869,15508,5207,11070,4910,353,7230,28899,591,27464,12852
Greece,3567,2997,569,36,1814,626,94,472,498,446,1367,210,1506,315,1052,358,1555,216,96,483,2370,461,1577,1990
Hungary,4398,3648,653,31,647,444,0,620,2525,71,2770,781,683,0,2684,470,638,73,78,1684,2145,326,3020,1378
Ireland,11488,8307,3156,33,4743,1057,1279,603,3197,1128,5161,1990,3061,0,2553,566,6767,813,173,1683,7384,777,6377,5090
Italy,34798,30019,4776,37,11390,2521,5517,2197,4950,4495,17274,981,7279,2924,10960,1924,10287,704,249,1784,24904,976,13121,21677
Latvia,743,573,170,33,184,35,55,129,277,253,240,102,80,8,19,1,0,100,14,22,475,21,401,342
Lithuania,425,345,80,33,237,729,984,12,39,272,41,57,14,23,90,3,86,194,353,11,328,86,416,9
Luxembourg,253,207,46,35,131,28,38,21,29,67,168,1,11,15,28,50,40,103,1,114,108,13,103,150
Malta,1927,1550,377,37,1178,145,187,136,262,454,1019,30,416,78,881,23,592,79,4,297,1264,236,786,1139
Netherlands,10987,8833,2154,32,4850,1450,0,326,869,54,3552,685,1162,0,2628,276,3590,1150,493,2418,3639,525,6769,4218
Norway,6348,4515,1831,33,3104,729,984,682,1556,685,4360,754,1960,869,2617,752,2641,1047,353,1929,4966,591,3332,2917
Poland,4249,3282,929,28,2091,670,621,352,377,352,1527,441,1870,692,1100,662,1426,159,80,836,2698,545,3113,1136
Portugal,3596,3041,555,33,1721,261,376,325,0,143,2776,154,278,300,1575,223,1152,91,42,1228,1849,364,1539,2057
Romania,3674,3185,489,33,934,156,277,403,1690,623,2357,167,376,1218,435,577,1083,140,73,278,2620,565,2716,958
Slovakia,2452,1977,475,32,832,158,450,392,363,481,1044,273,595,258,581,169,1172,158,84,779,1364,98,1537,915
Slovenia,133,97,36,37,67,21,11,7,15,33,48,12,39,15,24,5,73,14,7,45,70,6,46,87
Spain,44347,36392,7913,37,19473,3691,6356,5009,7983,1018,20544,2758,18100,5775,9476,3141,18966,3340,6412,16083,17198,2397,18592,25734
Sweden,398,233,165,33,144,39,35,50,46,138,66,110,32,2,11,9,9,234,81,131,120,19,1084,673
TÃ¼rkiye,11373,10502,871,29,8810,1170,981,382,30,1022,7910,745,1696,5124,4029,352,1733,120,199,10362,812,0,10583,790
