Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,3631,3631,4061,4400,4462,4414,4830,5056,4531,4750,4709
Belgium,9192,9192,10702,12794,11258,12037,11887,12471,11017,11991,12144
Bulgaria,2193,2193,1256,1880,976,1677,1924,1550,1506,1915,1879
Croatia,7858,7858,7812,7537,7107,7157,7554,6858,5478,5624,2315
Cyprus,1023,1023,1069,798,871,842,1120,982,922,736,884
Czechia,9784,9784,10108,9892,9892,4189,4363,4386,7283,7742,7742
Denmark,6275,6275,6275,5626,6112,6700,7277,7661,6418,7383,8241
Estonia,434,434,281,282,290,344,344,344,388,485,417
Finland,1099,1099,644,656,663,710,676,521,475,427,697
France,54733,54733,53299,62213,56482,58077,56845,53886,45717,43078,53906
Germany,88700,88700,91811,93805,94467,54034,40242,42603,43147,44404,40466
Greece,4891,4891,4740,4087,4314,4283,3698,3950,3295,3447,3567
Hungary,3985,3985,4688,4308,4098,4813,4709,4579,4277,4283,4398
Ireland,8684,8684,9523,9489,8954,8539,9899,10267,9368,10408,11488
Italy,57956,57956,51955,47213,48586,46586,38630,38268,37424,33970,34798
Latvia,1543,1543,830,751,879,811,1059,1059,1059,631,743
Lithuania,2209,2209,2159,2549,2384,1697,1305,806,572,465,425
Luxembourg,289,289,271,290,265,179,306,381,201,190,253
Malta,1834,1834,1770,1829,1822,1845,1898,1943,1984,1990,1927
Netherlands,11129,11129,10631,10987,10969,10969,10969,10969,10969,10969,10969
Norway,8412,8412,8581,5908,5716,5729,5956,6068,5728,5839,6348
Poland,2759,2759,7186,9013,6658,7084,6582,6483,4377,4749,4249
Portugal,4138,4138,3753,3389,3294,3307,3461,3471,2740,3236,3596
Romania,1645,1645,2622,3240,3544,3577,4266,4283,3440,3097,3674
Slovakia,2484,2484,2483,2720,3253,3106,3038,3295,2437,2419,2452
Slovenia,290,290,419,316,269,244,219,186,128,210,133
Spain,49678,51946,48926,47308,45637,46799,47972,50035,38544,44347,47119
Sweden,1242,1242,28057,30544,28584,30885,34850,34629,33247,32826,398
TÃ¼rkiye,7265,7265,10630,10884,9011,11633,11329,11112,8417,9353,11373
United Kingdom,101753,101753,100456,124234,119973,118342,114752,116546,112226,112226,112226
