Country,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0,2003.0,2002.0,2001.0,2000.0,1999.0,1998.0,1997.0,1996.0,1995.0,1994.0,1993.0,1992.0,1991.0,1990.0,1989.0,1988.0,1987.0,1986.0,1985.0
Austria,248.0,235.0,191.0,196.0,184.0,154.0,165.0,153.0,122.0,138.0,161.0,201.0,187.0,206.0,201.0,175.0,197.0,191.0,185.0,163.0,139.0,139.0,167.0,128.0,109.0,136.0,191.0,170.0,173.0,156.0,129.0,71.0,43.0,40.0,,,,
Belgium,,176.0,172.0,168.0,152.0,148.0,138.0,123.0,146.0,118.0,119.0,120.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,20.0,20.0,24.0,11.0,24.0,18.0,22.0,17.0,15.0,21.0,30.0,29.0,41.0,38.0,74.0,52.0,29.0,40.0,26.0,15.0,13.0,24.0,41.0,28.0,21.0,16.0,11.0,19.0,8.0,9.0,8.0,10.0,24.0,,,,,
Croatia,102.0,77.0,99.0,97.0,85.0,65.0,56.0,54.0,59.0,48.0,49.0,59.0,73.0,61.0,87.0,115.0,72.0,84.0,88.0,57.0,52.0,64.0,51.0,48.0,34.0,36.0,33.0,47.0,,,,,,,,,,
Cyprus,5.0,10.0,6.0,5.0,12.0,16.0,6.0,9.0,6.0,3.0,5.0,8.0,9.0,12.0,11.0,12.0,7.0,9.0,14.0,,,,,,,,,,,,,,,,,,,
Czechia,64.0,64.0,58.0,42.0,39.0,42.0,32.0,44.0,,,38.0,28.0,55.0,49.0,44.0,40.0,42.0,62.0,57.0,55.0,44.0,84.0,80.0,79.0,61.0,,,,,,,,,,,,,
Denmark,,184.0,199.0,203.0,183.0,241.0,257.0,198.0,257.0,230.0,245.0,299.0,248.0,277.0,267.0,246.0,227.0,207.0,,,,258.0,247.0,239.0,243.0,256.0,242.0,214.0,284.0,187.0,166.0,169.0,123.0,,,,,
Estonia,82.0,39.0,33.0,27.0,39.0,110.0,114.0,88.0,98.0,111.0,170.0,123.0,101.0,133.0,67.0,81.0,68.0,57.0,98.0,36.0,86.0,45.0,31.0,22.0,7.0,4.0,,,,,,,,,,,,
Finland,250.0,287.0,258.0,234.0,261.0,200.0,194.0,166.0,176.0,201.0,213.0,197.0,156.0,175.0,169.0,143.0,138.0,126.0,135.0,101.0,97.0,110.0,134.0,119.0,84.0,98.0,107.0,51.0,35.0,26.0,27.0,34.0,41.0,23.0,11.0,16.0,,
France,,460.0,457.0,433.0,450.0,417.0,465.0,373.0,370.0,349.0,264.0,340.0,392.0,365.0,374.0,333.0,305.0,301.0,267.0,231.0,242.0,272.0,247.0,118.0,143.0,228.0,393.0,465.0,564.0,454.0,499.0,411.0,350.0,226.0,161.0,140.0,126.0,131.0
Germany *,1631.0,1466.0,1581.0,1398.0,1276.0,1272.0,1333.0,1226.0,1032.0,1002.0,944.0,986.0,1237.0,1331.0,1449.0,1394.0,1296.0,1326.0,1385.0,1477.0,1513.0,1835.0,2030.0,1812.0,1674.0,1501.0,1712.0,1565.0,1624.0,1738.0,2099.0,2125.0,1491.0,991.0,620.0,442.0,348.0,324.0
Greece,,225.0,230.0,230.0,274.0,255.0,226.0,284.0,176.0,188.0,229.0,237.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,42.0,48.0,43.0,33.0,33.0,29.0,25.0,23.0,31.0,24.0,14.0,17.0,31.0,27.0,25.0,25.0,28.0,34.0,32.0,,40.0,38.0,42.0,31.0,47.0,52.0,,,,,,,,,,,
Ireland,,303.0,322.0,298.0,266.0,258.0,222.0,237.0,225.0,225.0,185.0,227.0,174.0,214.0,215.0,208.0,187.0,164.0,127.0,105.0,127.0,109.0,113.0,115.0,104.0,,,,,,,,,,,,,
Italy,298.0,296.0,309.0,374.0,336.0,297.0,268.0,308.0,313.0,349.0,393.0,365.0,374.0,484.0,517.0,606.0,551.0,653.0,653.0,517.0,520.0,825.0,1016.0,1002.0,1080.0,1160.0,1566.0,1195.0,867.0,888.0,1217.0,1383.0,1161.0,974.0,809.0,543.0,292.0,242.0
Lithuania,87.0,62.0,47.0,52.0,59.0,83.0,109.0,115.0,87.0,54.0,70.0,45.0,51.0,68.0,61.0,76.0,62.0,32.0,38.0,40.0,33.0,35.0,45.0,37.0,32.0,34.0,23.0,9.0,,,,,,,,,,
Luxembourg,8.0,5.0,6.0,8.0,4.0,8.0,5.0,12.0,8.0,11.0,8.0,6.0,12.0,14.0,10.0,27.0,19.0,8.0,13.0,14.0,11.0,18.0,26.0,17.0,16.0,9.0,17.0,22.0,29.0,15.0,17.0,17.0,11.0,8.0,4.0,5.0,2.0,3.0
Malta,,5.0,9.0,4.0,3.0,5.0,5.0,8.0,2.0,3.0,7.0,5.0,5.0,8.0,8.0,11.0,7.0,8.0,6.0,5.0,8.0,7.0,6.0,5.0,5.0,5.0,2.0,1.0,9.0,1.0,6.0,3.0,,,,,,
Netherlands,332.0,298.0,295.0,252.0,224.0,262.0,235.0,197.0,123.0,144.0,118.0,103.0,94.0,139.0,129.0,99.0,112.0,122.0,127.0,104.0,103.0,144.0,131.0,115.0,110.0,108.0,108.0,70.0,87.0,75.0,75.0,80.0,70.0,56.0,51.0,54.0,68.0,57.0
Norway,321.0,241.0,324.0,275.0,286.0,247.0,282.0,289.0,266.0,234.0,246.0,262.0,248.0,285.0,263.0,275.0,251.0,234.0,303.0,255.0,291.0,398.0,360.0,237.0,274.0,185.0,195.0,143.0,124.0,93.0,104.0,88.0,70.0,45.0,48.0,43.0,44.0,45.0
Poland,,289.0,229.0,212.0,199.0,202.0,204.0,255.0,279.0,247.0,227.0,285.0,261.0,247.0,244.0,214.0,241.0,290.0,231.0,277.0,324.0,294.0,310.0,292.0,235.0,253.0,179.0,175.0,185.0,211.0,199.0,213.0,155.0,,,,,
Portugal,,81.0,63.0,72.0,55.0,51.0,30.0,54.0,37.0,28.0,16.0,10.0,26.0,27.0,20.0,14.0,12.0,9.0,20.0,23.0,34.0,76.0,52.0,60.0,,,,,,,,,,,,,,
Romania,27.0,30.0,33.0,45.0,26.0,32.0,19.0,21.0,33.0,30.0,28.0,15.0,34.0,32.0,33.0,32.0,21.0,6.0,7.0,7.0,3.0,12.0,0.0,,,,,,,,,,,,,,,
Slovakia,,28.0,37.0,34.0,32.0,19.0,20.0,27.0,13.0,27.0,26.0,16.0,20.0,22.0,25.0,17.0,20.0,17.0,23.0,,,,,,,,,,,,,,,,,,,
Slovenia,66.0,65.0,70.0,74.0,59.0,47.0,40.0,32.0,28.0,28.0,26.0,24.0,25.0,28.0,36.0,42.0,26.0,36.0,25.0,22.0,26.0,21.0,19.0,23.0,19.0,13.0,,,,,,,,,,,,
Spain,,820.0,774.0,546.0,450.0,437.0,483.0,390.0,455.0,403.0,383.0,361.0,393.0,442.0,540.0,519.0,518.0,665.0,679.0,643.0,667.0,666.0,705.0,761.0,689.0,711.0,690.0,698.0,367.0,421.0,536.0,553.0,444.0,426.0,327.0,226.0,151.0,140.0
Sweden,519.0,450.0,533.0,555.0,583.0,643.0,605.0,675.0,632.0,481.0,429.0,373.0,371.0,350.0,320.0,310.0,235.0,245.0,225.0,258.0,203.0,204.0,194.0,157.0,138.0,133.0,122.0,70.0,86.0,83.0,66.0,62.0,62.0,56.0,55.0,70.0,,
TÃ¼rkiye,246.0,270.0,314.0,342.0,657.0,941.0,920.0,590.0,497.0,232.0,162.0,105.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,4369.0,5364.0,6264.0,5797.0,5801.0,6503.0,6484.0,5970.0,5478.0,4936.0,4815.0,4843.0,5132.0,5038.0,5191.0,5066.0,4668.0,4920.0,4766.0,4437.0,4536.0,5680.0,6043.0,5456.0,5109.0,4933.0,5643.0,4914.0,4442.0,4357.0,5148.0,5219.0,4045.0,2845.0,2086.0,1539.0,1031.0,942.0
